RB_NO3,RB_NH4,RB_PO4,Al,pH_water,Na,Mn,Mg,K,Fe,Ca,BS,ECEC,Bray_P,meanelev,convex,slope
38.1183575,14.0247295,0.29036638,0.2653886,5.7068852,4.24959e-6,0.02355666,0.48029526,0.16651427,9.70257e-6,1.01413646,0.85066318,2.04815537,4.88894042,152.619375,0.395625,9.4023072388953
33.2982208,8.83690653,0.40632591,0.21234953,5.70098596,0.00324914,0.01737491,0.44818141,0.21965275,2.25344e-5,0.85731421,0.84422571,2.02283543,4.70074265,131.925,-1.61821875,16.188369034394
32.1626853,8.75806696,0.42433921,0.1582643,5.72337196,0.0020749,0.01976639,0.45375107,0.20143412,2.78586e-5,1.12395187,0.85607695,1.9658437,4.67392519,129.30475,-0.917734375,14.737692766132
30.2178777,8.68362571,0.42863124,0.25726767,5.61402287,0.00145033,0.0269368,0.43906634,0.1777931,3.62642e-5,0.92057194,0.81405645,1.91538026,4.76220245,127.00075,-0.75346875,11.406418250563
29.31605,8.56998167,0.42091975,0.41165874,5.5051754,0.00284578,0.02934596,0.4215115,0.16993451,0.00004159,0.78122436,0.74195842,1.92592091,4.77840388,125.5075,-0.034078125,11.035612793862
29.9636534,8.2617441,0.40483229,0.46303065,5.41952832,0.00174005,0.02466723,0.37240688,0.1829947,3.68743e-5,0.65870356,0.70685275,1.78208263,4.73556411,123.021125,-0.532078125,13.750650758883
27.3721147,7.85191978,0.40101659,0.40415346,5.4146105,0.00016435,0.02020342,0.32972867,0.1867574,3.01232e-5,0.55154862,0.72179892,1.6915988,4.85276746,120.3595,-1.201671875,10.443479215792
23.5660467,7.69447295,0.42108352,0.37050556,5.33098815,0.0001688,0.01685623,0.27879598,0.1672945,2.7037e-5,0.3753699,0.69825738,1.46547806,5.04341948,119.08575,-1.1790625,10.278963779324
23.7496388,7.7633897,0.45168198,0.40201904,5.31282287,0.00022128,0.01509357,0.24638402,0.1454185,2.37571e-5,0.28165951,0.65612667,1.26493993,5.05336275,119.506375,-0.76484375,7.8898898293405
26.4080779,7.86930155,0.48265714,0.4126698,5.42084384,0.00002573,0.01415972,0.24802504,0.13981846,1.96063e-5,0.30803746,0.65449589,1.25672156,4.93216313,121.23525,0.131828125,10.786478013305
26.8236707,7.84368384,0.51282629,0.3625885,5.46863709,3.05935e-6,0.01438385,0.27188864,0.15077363,0.00001749,0.40760009,0.68068524,1.30867025,4.93007594,122.16725,-0.0610625,21.421127302126
25.2871982,7.66658332,0.53906012,0.32191721,5.4878752,6.42688e-7,0.01364578,0.3204802,0.16788097,1.71561e-5,0.53845551,0.72047602,1.39929721,5.01251335,122.921,-0.043203125,23.048792207662
25.3641095,7.51969363,0.55650673,0.34561382,5.50653238,1.38477e-7,0.01331646,0.35135739,0.19225081,1.86286e-5,0.59514385,0.73815189,1.53937417,5.13322978,124.473375,1.817765625,14.578987997275
26.6434665,7.475023,0.56352482,0.41936876,5.53513873,1.64429e-7,0.01239466,0.38477816,0.20221085,2.14273e-5,0.65216989,0.72137119,1.77277215,5.31618461,122.963,1.781859375,15.513985445158
26.6203648,7.70418758,0.5896577,0.48851045,5.49116538,3.46133e-7,0.0112387,0.37284317,0.19066348,2.45864e-5,0.59023404,0.7007934,1.80765803,5.40698442,118.452375,-2.244875,11.694912873885
40.694805,12.5547985,0.2657522,0.23858871,5.57263954,8.09525e-6,0.02855255,0.44400226,0.21338894,3.72916e-6,1.01536404,0.84967919,2.06324684,4.95981913,164.838375,-0.700875,16.89546190167
37.1886043,11.5562325,0.27896819,0.21467369,5.58843985,0.00004149,0.02516605,0.44682447,0.21495796,4.94232e-6,1.09171582,0.84847175,2.0330445,4.93778423,161.46,0.440984375,14.669396976198
33.9801148,10.4422631,0.32552875,0.23507911,5.70283943,0.00114234,0.02238574,0.47972465,0.2219875,6.7835e-6,1.12592124,0.8606395,2.40747066,4.99876701,158.057125,1.325578125,12.737211404455
33.9676094,9.60964515,0.36201691,0.33007915,5.64197001,0.00555553,0.02250993,0.47473147,0.22053599,9.5572e-6,0.9022866,0.82723965,2.49480146,5.04600123,152.210875,0.641,23.13706339954
36.6707812,9.05203724,0.37854638,0.43932405,5.39817891,0.00873494,0.02462885,0.4503637,0.21801886,1.34741e-5,0.68820669,0.76901482,2.28412438,5.09117878,144.8895,-1.0918125,20.363366068219
37.8471026,8.80071422,0.39472939,0.34108056,5.52621987,0.00797218,0.02528926,0.46264664,0.22699589,1.59484e-5,0.79306647,0.79610334,2.25627268,4.99376872,139.9915,-0.7964375,17.941601641205
36.9686677,8.8406718,0.42471679,0.19545091,5.68756168,0.00321819,0.02203988,0.49142568,0.2330584,1.78776e-5,1.02265317,0.85941953,2.29717422,4.86556429,136.956375,0.246046875,15.730555827707
35.4226225,8.81661939,0.43673111,0.13663368,5.72213023,0.00190365,0.02204362,0.50991372,0.22502577,2.15131e-5,1.37167144,0.87000721,2.28778716,4.84707436,133.574875,-0.053109375,16.314465843969
32.6834032,8.66569638,0.42819747,0.22233292,5.64062126,0.00145504,0.02713437,0.48958175,0.20082216,2.71689e-5,1.10362041,0.83106497,2.14903891,4.91446061,130.78925,-0.3743125,12.375494095307
31.655099,8.51801376,0.41128014,0.40609881,5.53205378,0.00282984,0.03154562,0.44695107,0.18889021,3.06928e-5,0.84793841,0.75151001,2.07208886,4.91798046,129.643,0.95228125,12.853095455964
32.9710736,8.24528892,0.39365236,0.50402142,5.40515799,0.00228254,0.02924988,0.358845,0.19306757,2.73851e-5,0.62897528,0.68792509,1.82970954,4.82937538,126.6515,0.22984375,20.2644037359
30.9059385,7.84322192,0.39593246,0.47826243,5.39213977,0.0002201,0.02258933,0.30692501,0.18868034,2.27931e-5,0.51953297,0.69507252,1.73415573,4.93384014,123.68075,-0.362921875,13.543795876788
25.3064904,7.58669223,0.42443871,0.42951571,5.33812396,0.00019667,0.01467569,0.27557742,0.16988033,2.06441e-5,0.40434862,0.68487915,1.53302344,5.09619462,121.733,-0.82940625,11.85315057858
24.4024839,7.51302786,0.45842563,0.40421671,5.33735253,0.0002379,0.01306649,0.26469151,0.16129962,1.79235e-5,0.37897077,0.67042179,1.39848261,5.11655622,121.569625,-1.16278125,11.001705767685
28.9134358,7.50751509,0.48674796,0.39558426,5.43777076,0.0000263,0.01685622,0.29278124,0.1709769,1.43575e-5,0.46974927,0.7102031,1.49199874,5.05161027,124.1605,-0.088140625,9.794422055255
30.0590813,7.46654517,0.51899029,0.37397041,5.47232078,2.76576e-6,0.01888266,0.34169065,0.18928149,1.23913e-5,0.6133963,0.73618082,1.58793062,5.07602185,127.847125,2.072546875,17.960680597001
27.2215783,7.38649128,0.55661925,0.37538042,5.474954,4.68093e-7,0.01486793,0.40016002,0.20505833,0.0000118,0.74487379,0.73144425,1.72142296,5.1589365,129.203375,3.377890625,13.873221210838
27.8642472,7.37959088,0.59264254,0.36386768,5.49072335,-6.5623e-8,0.01270235,0.42173429,0.21292617,1.23317e-5,0.74490551,0.74750817,1.85446987,5.28052964,126.433375,2.362109375,15.259009409899
29.8724627,7.42350251,0.61914062,0.3718921,5.48678635,3.39061e-7,0.013298,0.4219529,0.20721065,0.00001374,0.80816845,0.76241841,1.96009559,5.46574351,121.894875,0.81909375,17.564562207823
29.0248463,7.60292147,0.64941634,0.38487142,5.46339422,2.11633e-6,0.01269838,0.3987277,0.19021056,1.57328e-5,0.78230201,0.74390424,1.91962452,5.5509785,118.010625,0.037875,6.1482999716796
42.5792002,11.8394245,0.32089744,0.1977081,5.63480494,9.27153e-6,0.02636665,0.49732385,0.23260916,2.79406e-6,1.29369709,0.87902619,2.44965188,5.11686017,169.761,-0.993,20.270791837546
40.1860441,10.8711719,0.33775562,0.18719006,5.65012038,1.40416e-5,0.02535362,0.49543795,0.23205181,3.8343e-6,1.33767347,0.86660208,2.40946525,5.13428527,164.320875,-0.017515625,16.521992166741
37.5096573,9.98194856,0.37119493,0.2291415,5.66809014,3.50954e-5,0.02532532,0.48264293,0.2272473,5.26661e-6,1.08365965,0.84766418,2.2803834,5.23817054,159.56325,0.199109375,11.661373114647
37.0352695,9.286477,0.40051659,0.30265272,5.62028721,0.0001189,0.02609293,0.47033308,0.214898,7.30637e-6,0.93014374,0.82303003,2.36690506,5.2487829,153.8685,-0.336375,20.49988140751
38.0769967,8.8557895,0.41807542,0.35180393,5.51332015,0.00019332,0.02730828,0.46766077,0.20828652,0.00000965,0.7541643,0.78694826,2.12157794,5.18019586,148.297875,-0.780953125,14.267037321879
39.2956172,8.78431851,0.43706013,0.2856593,5.5343626,0.00018758,0.02808734,0.49410944,0.21720859,1.15558e-5,0.88579186,0.80942635,2.17314667,5.12368973,144.71825,0.3218125,14.504151659691
40.4228468,9.07323536,0.46137255,0.16054505,5.64863422,0.00012008,0.02654491,0.56329012,0.23545032,1.30852e-5,1.34945004,0.87826801,2.65124887,5.06904962,141.199875,0.62971875,14.492629141582
39.0655894,9.10952242,0.46230335,0.09616727,5.70894132,0.00010647,0.02399912,0.60502421,0.23306599,0.00001512,1.76948739,0.89673696,2.82330132,5.07338479,137.22675,-0.179,14.825898089222
35.1358677,8.74911386,0.43320214,0.14491702,5.70815968,0.00014024,0.02516519,0.56262819,0.21158781,0.00001757,1.43096574,0.8740312,2.4406014,5.10506788,134.621125,0.03353125,10.382393761818
33.6462121,8.50839154,0.40232265,0.25698273,5.64321613,0.00014775,0.02920703,0.47841374,0.19683778,1.86825e-5,1.05162446,0.8149608,2.19647779,5.11686739,132.42975,0.492859375,12.476453316721
35.3593073,8.31331841,0.38151597,0.37832452,5.47131681,0.00011459,0.03278802,0.37833479,0.19838387,0.00001752,0.78280552,0.75558623,2.01245794,5.12556143,129.50475,-0.034234375,9.0605087176811
31.9768059,7.96529635,0.38648638,0.46122284,5.4184459,5.29068e-5,0.02400458,0.31829357,0.19056265,1.54379e-5,0.5395953,0.7057712,1.84305089,5.1140339,127.226875,0.113453125,9.929113327935
24.6665075,7.5672366,0.42231806,0.49799763,5.43582423,4.80521e-5,0.01226636,0.28294677,0.18015065,1.3654e-5,0.40597218,0.64473368,1.65134403,5.02023464,124.766875,-0.89865625,12.093650157302
24.5387296,7.35524606,0.4595974,0.50373125,5.43011032,4.1074e-5,0.01191461,0.30248519,0.18161791,1.1751e-5,0.47610368,0.64586143,1.68568686,5.0524983,124.3035,-1.445703125,9.494875829264
31.6867878,7.32526054,0.48053729,0.43028038,5.39992991,1.68342e-5,0.02188457,0.3927807,0.19817248,9.79609e-6,0.78502023,0.74183724,2.12391647,5.26530145,127.068,-0.0413125,14.149770632554
34.6250518,7.2759617,0.51631092,0.37033053,5.40429685,3.19457e-6,0.02628694,0.44956728,0.22431079,8.48562e-6,1.06495125,0.79991497,2.26593636,5.35520258,130.292,2.344578125,15.076853287498
31.2111166,7.22786377,0.56951182,0.33759914,5.49075046,1.47835e-6,0.01832872,0.49332935,0.234166,7.99614e-6,1.0209033,0.79528663,2.08458325,5.34692139,129.14925,2.57115625,19.071654000021
29.3133341,7.41736992,0.63388389,0.32581192,5.54742531,3.62603e-7,0.01459882,0.51134607,0.23091435,8.14711e-6,1.01119108,0.80088132,2.26781932,5.47119167,123.3205,-0.02665625,23.691445121643
28.7078433,7.52281796,0.68419598,0.32949672,5.56708298,1.31696e-6,0.01681222,0.48376341,0.21717081,8.92749e-6,1.01374217,0.80005742,2.2579516,5.59568542,118.64475,-1.0139375,14.559536417223
26.792943,7.57353077,0.715698,0.33976231,5.5275476,6.68984e-6,0.01692778,0.44661313,0.19266703,1.02467e-5,0.9507997,0.76497082,2.01531783,5.64595144,116.30825,1.76925,9.5672318883202
47.1375115,11.2420803,0.37601399,0.19832142,5.6297013,8.0048e-6,0.02728289,0.54012069,0.232647,2.12438e-6,1.44079418,0.88802847,2.6139198,5.24616039,172.917875,-2.575375,18.930479628389
45.1548874,10.3249576,0.39739086,0.20214381,5.63926982,2.63099e-6,0.02921222,0.53468179,0.22971974,3.03221e-6,1.44080032,0.87793297,2.57772901,5.27621704,166.479,-1.417609375,18.630626898591
40.9692667,9.55323446,0.42359365,0.23411517,5.63556717,1.58788e-6,0.03052231,0.50808885,0.22506135,4.21616e-6,1.3220442,0.85486635,2.5230171,5.35142919,161.6305,-1.19334375,15.014153156177
39.3479204,8.94385839,0.44564408,0.25651511,5.61237191,6.80329e-6,0.02931329,0.48688181,0.21734355,5.72518e-6,1.1487159,0.83629117,2.5360088,5.34029733,156.88625,-1.1104375,20.672352522665
37.5260505,8.56667974,0.45945088,0.27365616,5.55753603,9.57457e-6,0.028252,0.49605975,0.20941657,7.29213e-6,0.97415923,0.82516043,2.30253437,5.25968606,152.103625,-1.074046875,15.819386609265
36.9983501,8.53063941,0.47312289,0.20708451,5.56948108,1.38466e-5,0.02916676,0.53765308,0.22110072,8.5797e-6,1.26206469,0.84197833,2.42366552,5.23426872,147.962125,-0.5181875,15.386507275108
38.9180817,8.85947285,0.48612435,0.12945747,5.64028504,3.35413e-5,0.03054054,0.62110923,0.24278557,9.5403e-6,1.88804057,0.88385976,2.97440554,5.23440472,143.770625,-0.66059375,11.560373228371
39.4018485,8.98685864,0.47440064,0.09589232,5.68686391,9.02243e-5,0.02866888,0.67203553,0.2452373,1.05043e-5,2.19312344,0.90432918,3.15786405,5.26647073,140.36075,-0.719078125,12.47316523669
37.473983,8.73846743,0.43348304,0.10407774,5.71426691,0.00015677,0.02589133,0.62430193,0.22579199,1.13877e-5,1.91057602,0.89278145,2.72024421,5.30486607,137.973125,-0.143046875,10.292181071754
36.6482947,8.57524161,0.38815344,0.1643783,5.67376341,0.00011996,0.02851045,0.52952589,0.20685458,1.15775e-5,1.36513152,0.86769766,2.36752209,5.29934079,134.70325,-0.797421875,16.793253912933
37.2820846,8.44751125,0.35359836,0.24822516,5.53079888,4.82875e-5,0.03184651,0.42359122,0.20268267,0.00001091,0.97756208,0.83082163,2.08846886,5.26022844,131.609125,-1.65859375,11.43649988505
33.6289588,8.10728209,0.3549179,0.37289591,5.47891067,3.49642e-5,0.02474045,0.36150635,0.20554274,9.83582e-6,0.63646071,0.75986887,1.89836868,5.19672203,130.367625,-0.899890625,10.563990006688
27.4513615,7.61062962,0.39585134,0.50215604,5.47911854,9.49512e-5,0.01380318,0.3365909,0.20786101,8.76166e-6,0.45285022,0.66853605,1.79340364,5.0753033,128.59375,-1.496578125,14.275085063316
26.8783901,7.29119789,0.4413929,0.53975869,5.45970377,0.00011266,0.01272709,0.36739206,0.21683416,7.5979e-6,0.5303784,0.67006575,1.90533332,5.12008451,127.849125,-1.995984375,12.728329960644
31.953421,7.1976347,0.47209772,0.44215007,5.39327032,7.81432e-5,0.02309705,0.4635921,0.23113164,6.48472e-6,0.8995787,0.77282359,2.4222561,5.37747152,130.25275,0.372625,13.920748488259
34.4527043,7.12846798,0.51850214,0.31709358,5.39313279,2.93652e-5,0.02751094,0.52969245,0.23503021,5.69189e-6,1.35378559,0.83348918,2.54060809,5.499626,130.599875,1.84109375,12.614000921411
32.2266517,7.11250044,0.58618096,0.2417259,5.52038149,0.00001214,0.01974949,0.55136912,0.23579127,5.36507e-6,1.35245729,0.8343584,2.26272025,5.50897762,125.2985,-0.485546875,22.013103166226
30.3088378,7.35229626,0.66797831,0.22776877,5.58913769,8.86546e-6,0.01773633,0.56155863,0.23398725,5.39043e-6,1.31522121,0.83860271,2.43259939,5.63523486,119.63,-2.11128125,13.707139812949
28.5771137,7.50901177,0.73661461,0.27605435,5.60448094,0.00002123,0.0215796,0.53899667,0.22846052,0.00000583,1.22890098,0.82107277,2.45682257,5.75972066,116.523125,-2.203328125,6.9332691920512
26.5745241,7.55387741,0.77749239,0.35193527,5.55872084,4.43941e-5,0.02137413,0.49785769,0.21494127,6.66914e-6,1.05982767,0.78271579,2.20506327,5.8135424,115.14875,-0.55525,6.1799062093145
57.4311656,10.7634231,0.42158778,0.25025674,5.56623007,1.08854e-5,0.0325574,0.57375781,0.22225782,1.67583e-6,1.47648209,0.86739344,2.54575141,5.40334585,176.493875,-0.968875,23.020782536943
55.1850425,9.87052157,0.44610181,0.24773803,5.57179676,3.88775e-6,0.03488117,0.56105103,0.22020178,2.51375e-6,1.40359217,0.86531434,2.50312272,5.42263436,171.165375,-2.169265625,22.108661651292
45.6443947,9.1390474,0.46749778,0.2594167,5.58222745,4.33618e-6,0.03399148,0.54498248,0.22956412,3.59892e-6,1.29317571,0.85683362,2.47648211,5.37430349,167.320125,-1.12153125,22.022257263173
39.687708,8.54175661,0.48273763,0.24026052,5.59573174,8.69267e-6,0.02961189,0.53464217,0.23202225,4.89497e-6,1.22582303,0.86332086,2.61619092,5.33744053,162.987375,-0.750703125,24.870221180084
35.8419032,8.14289334,0.4917909,0.19962488,5.63528507,8.40144e-6,0.02662445,0.55411024,0.22804786,6.1184e-6,1.58527707,0.87337063,2.97450899,5.29402622,158.20225,-0.577265625,24.03250405018
32.6193283,8.00083742,0.49572985,0.15970822,5.6624338,0.00001061,0.02846339,0.60859129,0.23926532,6.95899e-6,2.11877085,0.88652662,3.18293325,5.321502,152.49875,-1.42496875,25.957281352865
33.3634355,8.17440789,0.49187344,0.12441451,5.68387094,0.00021036,0.032344,0.68492717,0.25881768,7.43318e-6,2.34753469,0.90386831,3.60175576,5.43590207,147.05125,-2.776421875,17.307849469697
36.9226775,8.44807784,0.4717437,0.10766896,5.68224726,0.00214504,0.03269603,0.69297375,0.26382731,7.71798e-6,2.48712317,0.90085673,3.68126761,5.49868833,144.432,-1.945125,15.036709791083
39.7567955,8.59948092,0.43236216,0.12050603,5.66022732,0.00384727,0.02969403,0.65118783,0.24575607,7.76402e-6,2.1151866,0.89336485,3.04303058,5.56011076,142.363875,-0.980640625,17.238650203643
40.2526757,8.6693064,0.3768764,0.16513385,5.6277925,0.00275803,0.02876519,0.58586776,0.2231974,7.52707e-6,1.78010156,0.88461905,2.61550252,5.51470316,138.791875,-2.035421875,18.094902643463
39.544428,8.5928808,0.31418914,0.21193961,5.57102533,0.00099777,0.02857171,0.49562197,0.21627507,7.00827e-6,1.23520346,0.8618323,2.2211995,5.26686244,136.71175,-2.100875,18.6022495152
