# https://github.com/forestgeo/forestr/issues/32

# This data is on a google sheet owned by Mauro Lepore <maurolepore@gmail.com>
# at https://goo.gl/oiZVho.
# The data were edited by "McMahon, Sean" <mcmahons@si.edu> and Gabriel 
# Arellano <gabriel.arellano.torres@gmail.com>.
# The data were discussed among Sean, Gabriel "Davies, Stuart J." 
# <daviess@si.edu> and Mauro.
# Then, Mauro changed the privilege of Sean and Gabriel over the data so they
# can view it. Should priorities change, Mauro to be notified so he can adapt
# his work accordingly.
# The data were downloaded on the same day, about 30 minutes after the
# discussion finished.



folder,file,fun,decision,notes
map,map,map,high,
map,map,map1species,re-think,this should be a specific use of other functions
map,map,map2species,re-think,
map,map,maptopo,high,
map,map,pdf.allplot,deprecate,"teach how to use pdf and other devices in a general ""explore your date"" vignette"
map,map,png.allplot,deprecate,"teach how to use pdf and other devices in a general ""explore your date"" vignette"
map,map,setsize,deprecate,this should be a specific use of other functions
map,mapresponse,coldata.to.imagemat,"keep, convenient",
map,mapresponse,draw.axes,deprecate,
map,mapresponse,image_dataframe,deprecate,
map,mapresponse,imageGraph,deprecate,
mortality,mortality,find.climits,high,
mortality,mortality,mortality,high,make general and maybe include the other mortality functions
mortality,mortality,mortality.calculation,high,
mortality,mortality,mortality.dbh,high,
mortality,mortality,mortality.eachspp,high,
recruitment,recruitment,recruitment,high,
recruitment,recruitment,recruitment.eachspp,high but...,"this is a specific case of the previous one. Again, think about general ways of binning stuff"
spatial,block.analysis,plot_wavelet,deprecate,
spatial,block.analysis,rasterize,deprecate,
spatial,block.analysis,wavelet.allsp,deprecate,
spatial,block.analysis,wavelet.bivariate,deprecate,
spatial,block.analysis,wavelet.univariate,deprecate,
spatial,NeighborDensityFun,NDcount,high,make it fast and general
spatial,NeighborDensityFun,NeighborDensities,high,make it fast and general
spatial,quadfunc,convert.rowcol,"these things in quadfun are important, other things depend on them",
spatial,quadfunc,create.neighbordata,revisit all,
spatial,quadfunc,distance,revisit all,
spatial,quadfunc,findborderquads,revisit all,
spatial,quadfunc,findneighborabund,revisit all,
spatial,quadfunc,full.xygrid,revisit all,
spatial,quadfunc,getquadratname,revisit all,
spatial,quadfunc,getsmallerquads,revisit all,
spatial,quadfunc,gxgy.to.hectindex,keep,
spatial,quadfunc,gxgy.to.index,keep,
spatial,quadfunc,gxgy.to.lxly,keep,
spatial,quadfunc,gxgy.to.quad,keep,
spatial,quadfunc,gxgy.to.rowcol,keep,
spatial,quadfunc,index.to.gxgy,keep,
spatial,quadfunc,index.to.rowcol,keep,
spatial,quadfunc,lxly.to.p5,keep,
spatial,quadfunc,neighbors,keep,
spatial,quadfunc,quad.to.gxgy,keep,
spatial,quadfunc,rowcol.to.index,keep,
spatial,quadfunc,torus.shift,keep,
spatial,RipUvK,Annuli,low,
spatial,RipUvK,CalcRingArea,low,"try to collapse RipUvK stuff in one function, or two"
spatial,RipUvK,circlearea,low,"try to collapse RipUvK stuff in one function, or two"
spatial,RipUvK,partialcirclearea,low,"try to collapse RipUvK stuff in one function, or two"
spatial,RipUvK,RipUvK,low,"try to collapse RipUvK stuff in one function, or two"
speciesarea,spparea,coverage.diag,deprecate,
speciesarea,spparea,graph.quadrats,low,
speciesarea,spparea,selectrandomquad,condense,
speciesarea,spparea,selectrandomquad2,condense,
speciesarea,spparea,selectrandomquad3,condense,
speciesarea,spparea,spparea.sq,condense,
startCTFS,startCTFS,startCTFS,deprecate,
topography,imageJ,distance.to.side,low,probably deprecate
topography,imageJ,fullplot.imageJ,low,probably deprecate
topography,imageJ,imageJ.to.lxly,low,probably deprecate
topography,imageJ,SectionCorrection,low,probably deprecate
topography,slope,allquadratslopes,we need a topography function to characterize quadrats,general for quadrats of any size
topography,slope,calc.directionslope,we need a topography function to characterize quadrats,
topography,slope,calc.gradient,we need a topography function to characterize quadrats,
topography,slope,calcslope,we need a topography function to characterize quadrats,
topography,slope,elev.to.list,we need a topography function to characterize quadrats,
topography,slope,quadslope,"high, we need a topography function to characterize quadrats",
topography,slope,readelevdata,too specific?,
topography,solvetopo,getTopoLinks,deprecate,
topography,solvetopo,rearrangeSurveyData,deprecate,
topography,solvetopo,solve_topo,deprecate,
utilities,calcalpha,calcalpha,deprecate,
utilities,calcalpha,calcS.alpha,deprecate,
utilities,calcalpha,d.calcS.alpha,deprecate,
utilities,calcalpha,rarefy.diversity,leave diversity stuff for other packages,
utilities,distributions,addBinParam,try to deprecate all the distribution functions,
utilities,distributions,asymp.ht,try to deprecate all the distribution functions,
utilities,distributions,asymp.ht.fixmax,try to deprecate all the distribution functions,
utilities,distributions,asymptote.exp,try to deprecate all the distribution functions,
utilities,distributions,bad.paretopar,try to deprecate all the distribution functions,
utilities,distributions,beta.normalized,try to deprecate all the distribution functions,
utilities,distributions,beta.total,try to deprecate all the distribution functions,
utilities,distributions,betaproduct,try to deprecate all the distribution functions,
utilities,distributions,center.predictors,try to deprecate all the distribution functions,
utilities,distributions,constant,try to deprecate all the distribution functions,
utilities,distributions,constant.bin,try to deprecate all the distribution functions,
utilities,distributions,constant.linear,try to deprecate all the distribution functions,
utilities,distributions,dasymexp,try to deprecate all the distribution functions,
utilities,distributions,dasymnorm,try to deprecate all the distribution functions,
utilities,distributions,dasympower,try to deprecate all the distribution functions,
utilities,distributions,dbeta.reparam,try to deprecate all the distribution functions,
utilities,distributions,dbinomrev,try to deprecate all the distribution functions,
utilities,distributions,default.badpar,try to deprecate all the distribution functions,
utilities,distributions,dexp.sin,try to deprecate all the distribution functions,
utilities,distributions,dgamma.mean,try to deprecate all the distribution functions,
utilities,distributions,dgamma.meansd,try to deprecate all the distribution functions,
utilities,distributions,dgamma.scale,try to deprecate all the distribution functions,
utilities,distributions,dgammadexp,try to deprecate all the distribution functions,
utilities,distributions,dgammaMinusdexp,try to deprecate all the distribution functions,
utilities,distributions,dgammaPlusdexp,try to deprecate all the distribution functions,
utilities,distributions,discrete.model,try to deprecate all the distribution functions,
utilities,distributions,discrete.mortmodel,try to deprecate all the distribution functions,
utilities,distributions,dmixnorm,try to deprecate all the distribution functions,
utilities,distributions,dnormprod0,try to deprecate all the distribution functions,
utilities,distributions,dnormrev,try to deprecate all the distribution functions,
utilities,distributions,doublenormal,try to deprecate all the distribution functions,
utilities,distributions,dpois.max,try to deprecate all the distribution functions,
utilities,distributions,dpois.maxtrunc,try to deprecate all the distribution functions,
utilities,distributions,dpois.rearrange,try to deprecate all the distribution functions,
utilities,distributions,dpois.trunc,try to deprecate all the distribution functions,
utilities,distributions,dpower,try to deprecate all the distribution functions,
utilities,distributions,dsymexp,try to deprecate all the distribution functions,
utilities,distributions,dweibull.3param,try to deprecate all the distribution functions,
utilities,distributions,exp_2par,try to deprecate all the distribution functions,
utilities,distributions,expon.model,try to deprecate all the distribution functions,
utilities,distributions,exponential.sin,try to deprecate all the distribution functions,
utilities,distributions,fit.beta.normal,try to deprecate all the distribution functions,
utilities,distributions,fit.logistic,try to deprecate all the distribution functions,
utilities,distributions,fit.pdf,try to deprecate all the distribution functions,
utilities,distributions,fitnorm,try to deprecate all the distribution functions,
utilities,distributions,graph.mvnorm,try to deprecate all the distribution functions,
utilities,distributions,invlogit,try to deprecate all the distribution functions,
utilities,distributions,linear.model,try to deprecate all the distribution functions,
utilities,distributions,linear.model.ctr,try to deprecate all the distribution functions,
utilities,distributions,linear.mortmodel,try to deprecate all the distribution functions,
utilities,distributions,linearmodel.bin,try to deprecate all the distribution functions,
utilities,distributions,linearmodel.bin.set,try to deprecate all the distribution functions,
utilities,distributions,log_model,try to deprecate all the distribution functions,
utilities,distributions,logistic.ctr,try to deprecate all the distribution functions,
utilities,distributions,logistic.inter,try to deprecate all the distribution functions,
utilities,distributions,logistic.multiplicative,try to deprecate all the distribution functions,
utilities,distributions,logistic.power,try to deprecate all the distribution functions,
utilities,distributions,logistic.power.mode,try to deprecate all the distribution functions,
utilities,distributions,logistic.power_simple,try to deprecate all the distribution functions,
utilities,distributions,logistic.standard,try to deprecate all the distribution functions,
utilities,distributions,logistic.sum.squares,try to deprecate all the distribution functions,
utilities,distributions,logisticmodel.bin,try to deprecate all the distribution functions,
utilities,distributions,logit,try to deprecate all the distribution functions,
utilities,distributions,minum.beta.normal,try to deprecate all the distribution functions,
utilities,distributions,minum.mixnorm,try to deprecate all the distribution functions,
utilities,distributions,minum.normal,try to deprecate all the distribution functions,
utilities,distributions,mvrnormRC,try to deprecate all the distribution functions,
utilities,distributions,normalproduct,try to deprecate all the distribution functions,
utilities,distributions,pexp.sin,try to deprecate all the distribution functions,
utilities,distributions,pospower,try to deprecate all the distribution functions,
utilities,distributions,psymexp,try to deprecate all the distribution functions,
utilities,distributions,pweibull.3param,try to deprecate all the distribution functions,
utilities,distributions,qasymexp,try to deprecate all the distribution functions,
utilities,distributions,qasympower,try to deprecate all the distribution functions,
utilities,distributions,rasympower,try to deprecate all the distribution functions,
utilities,distributions,rgamma.meansd,try to deprecate all the distribution functions,
utilities,distributions,rmixnorm,try to deprecate all the distribution functions,
utilities,distributions,rpois.max,try to deprecate all the distribution functions,
utilities,distributions,rpois.trunc,try to deprecate all the distribution functions,
utilities,distributions,rpower,try to deprecate all the distribution functions,
utilities,distributions,rsymexp,try to deprecate all the distribution functions,
utilities,distributions,simple,try to deprecate all the distribution functions,
utilities,distributions,simple.model,try to deprecate all the distribution functions,
utilities,distributions,weibull.mean.3param,try to deprecate all the distribution functions,
utilities,distributions,weibull.median.3param,try to deprecate all the distribution functions,
utilities,distributions,weibull.sd.3param,try to deprecate all the distribution functions,
utilities,geometry,angleBisector,deprecate all geometry,
utilities,geometry,are.ptsinside,deprecate all geometry,
utilities,geometry,cartesian.to.polar,deprecate all geometry,
utilities,geometry,circle,deprecate all geometry,
utilities,geometry,drawrectangle,deprecate all geometry,
utilities,geometry,ellipse,deprecate all geometry,
utilities,geometry,fullcircle,deprecate all geometry,
utilities,geometry,fullellipse,deprecate all geometry,
utilities,geometry,inside.rect,deprecate all geometry,
utilities,geometry,insideRectangle,deprecate all geometry,
utilities,geometry,intersection.line.curve,deprecate all geometry,
utilities,geometry,intersection.of.lines,deprecate all geometry,
utilities,geometry,is.between,deprecate all geometry,
utilities,geometry,ispt.inside,deprecate all geometry,
utilities,geometry,line.intersection.pts,deprecate all geometry,
utilities,geometry,parallel.line,deprecate all geometry,
utilities,geometry,perpendicular.distance,deprecate all geometry,
utilities,geometry,perpendicular.line,deprecate all geometry,
utilities,geometry,polar.to.cartesian,deprecate all geometry,
utilities,geometry,pts.to.interceptslope,deprecate all geometry,
utilities,geometry,segmentPt,deprecate all geometry,
utilities,geometry,xydist,deprecate all geometry,
utilities,geometry,xydistmat,deprecate all geometry,
utilities,geometry,xydistvect,deprecate all geometry,
utilities,lmerBayes,arrangeParam.Gibbs.2D,deprecate all lmerBayes,
utilities,lmerBayes,arrangeParam.llike.2D,deprecate all lmerBayes,
utilities,lmerBayes,badSD,deprecate all lmerBayes,
utilities,lmerBayes,covTocorr,deprecate all lmerBayes,
utilities,lmerBayes,full.likelihood.lmerBayes,deprecate all lmerBayes,
utilities,lmerBayes,llike.model.lmer,deprecate all lmerBayes,
utilities,lmerBayes,lmerBayes,deprecate all lmerBayes,
utilities,lmerBayes,lmerBayes.hyperllike.mean,deprecate all lmerBayes,
utilities,lmerBayes,lmerBayes.hyperllike.sigma,deprecate all lmerBayes,
utilities,lmerBayes,recalculate.lmerBayesllike,deprecate all lmerBayes,
utilities,lmerBayes,resetParam,deprecate all lmerBayes,
utilities,lmerBayes,residual.llike.lmerBayes,deprecate all lmerBayes,
utilities,lmerBayes,restoreParamFile,deprecate all lmerBayes,
utilities,lmerBayes,saveParamFile,deprecate all lmerBayes,
utilities,lmerBayes,summaryMCMC,deprecate all lmerBayes,
utilities,modelBayes,modelBayes,deprecate all lmerBayes,
utilities,modelBayes,residual.llike.modelBayes,deprecate all lmerBayes,
utilities,modelBayes,summaryModelMCMC,deprecate all lmerBayes,
utilities,statistics,arrangeParam.Gibbs,probably everything in statistics is too specific,
utilities,statistics,arrangeParam.llike,probably everything in statistics is too specific,
utilities,statistics,autoregression,probably everything in statistics is too specific,
utilities,statistics,BadParam,probably everything in statistics is too specific,
utilities,statistics,bootconf,probably everything in statistics is too specific,
utilities,statistics,bootstrap.corr,probably everything in statistics is too specific,
utilities,statistics,border.distance,probably everything in statistics is too specific,
utilities,statistics,CI,probably a lot of things depend on this,
utilities,statistics,colMedians,probably a lot of things depend on this,
utilities,statistics,cumul.above,probably a lot of things depend on this,
utilities,statistics,Gibbs.normalmean,probably a lot of things depend on this,
utilities,statistics,Gibbs.normalvar,probably a lot of things depend on this,
utilities,statistics,Gibbs.regsigma,probably a lot of things depend on this,
utilities,statistics,Gibbs.regslope,probably a lot of things depend on this,
utilities,statistics,graph.modeldiag,probably a lot of things depend on this,
utilities,statistics,harmonic.mean,probably a lot of things depend on this,
utilities,statistics,hist_compare,probably a lot of things depend on this,
utilities,statistics,is.odd,probably a lot of things depend on this,
utilities,statistics,kurtosis,probably a lot of things depend on this,
utilities,statistics,llike.GaussModel,probably a lot of things depend on this,
utilities,statistics,llike.GaussModelSD,probably a lot of things depend on this,
utilities,statistics,majoraxisreg,probably a lot of things depend on this,
utilities,statistics,majoraxisreg.no.int,probably a lot of things depend on this,
utilities,statistics,metrop1step,probably a lot of things depend on this,
utilities,statistics,metrop1step.discrete,probably a lot of things depend on this,
utilities,statistics,midPoint,probably a lot of things depend on this,
utilities,statistics,minum.perpdist,probably a lot of things depend on this,
utilities,statistics,model.xy,probably a lot of things depend on this,
utilities,statistics,regress.loglog,probably a lot of things depend on this,
utilities,statistics,regress.plot,probably a lot of things depend on this,
utilities,statistics,regression.Bayes,probably a lot of things depend on this,
utilities,statistics,regslope,probably a lot of things depend on this,
utilities,statistics,regslope.noint,probably a lot of things depend on this,
utilities,statistics,regsum,probably a lot of things depend on this,
utilities,statistics,se.kurtosis,probably a lot of things depend on this,
utilities,statistics,se.skewness,probably a lot of things depend on this,
utilities,statistics,skewness,probably a lot of things depend on this,
utilities,statistics,standardreg.no.int,probably a lot of things depend on this,
utilities,statistics,sumsq,probably a lot of things depend on this,
utilities,statistics,testmcmcfunc,probably a lot of things depend on this,
utilities,utilities,AssignDiag,probably a lot of things depend on this,
utilities,utilities,attach_if_needed,probably a lot of things depend on this,
utilities,utilities,charlocate,probably a lot of things depend on this,
utilities,utilities,convert.factor,probably a lot of things depend on this,
utilities,utilities,CountByGroup,probably a lot of things depend on this,
utilities,utilities,countEmpty,probably a lot of things depend on this,
utilities,utilities,countNA,probably a lot of things depend on this,
utilities,utilities,countone,probably a lot of things depend on this,
utilities,utilities,countpresent,probably a lot of things depend on this,
utilities,utilities,countUnique,probably a lot of things depend on this,
utilities,utilities,countzero,probably a lot of things depend on this,
utilities,utilities,create.fulldate,probably a lot of things depend on this,
utilities,utilities,create.fulldate.split,probably a lot of things depend on this,
utilities,utilities,detachfiles,probably a lot of things depend on this,
utilities,utilities,ditch,probably a lot of things depend on this,
utilities,utilities,drp,probably a lot of things depend on this,
utilities,utilities,explode,probably a lot of things depend on this,
utilities,utilities,fill.1dimension,probably a lot of things depend on this,
utilities,utilities,fill.dimension,probably a lot of things depend on this,
utilities,utilities,find.nonNA,probably a lot of things depend on this,
utilities,utilities,fromjulian,probably a lot of things depend on this,
utilities,utilities,graphFilledBand,probably a lot of things depend on this,
utilities,utilities,gsp,probably a lot of things depend on this,
utilities,utilities,IfElse,probably a lot of things depend on this,
utilities,utilities,is.leap,probably a lot of things depend on this,
utilities,utilities,left,probably a lot of things depend on this,
utilities,utilities,leftbut,probably a lot of things depend on this,
utilities,utilities,logical.grep,probably a lot of things depend on this,
utilities,utilities,make.CredIntervalVect,probably a lot of things depend on this,
utilities,utilities,match.dataframe,probably a lot of things depend on this,
utilities,utilities,merge_data,probably a lot of things depend on this,
utilities,utilities,mergeParam,probably a lot of things depend on this,
utilities,utilities,nhd,probably a lot of things depend on this,
utilities,utilities,order.by.rowcol,probably a lot of things depend on this,
utilities,utilities,order.bynumber,probably a lot of things depend on this,
utilities,utilities,pst,probably a lot of things depend on this,
utilities,utilities,randomElement,probably a lot of things depend on this,
utilities,utilities,randomRow,probably a lot of things depend on this,
utilities,utilities,right,probably a lot of things depend on this,
utilities,utilities,rightbut,probably a lot of things depend on this,
utilities,utilities,save.searchpath,probably a lot of things depend on this,
utilities,utilities,split_data,probably a lot of things depend on this,
utilities,utilities,StringToVect,probably a lot of things depend on this,
utilities,utilities,TextToRdata,probably a lot of things depend on this,
utilities,utilities,tojulian,probably a lot of things depend on this,
utilities,utilities,trim,probably a lot of things depend on this,
utilities,utilities,vectToCommas,probably a lot of things depend on this,
utilities,utilities,which.allnonNA,probably a lot of things depend on this,
utilities,utilities,which.maxNAs,probably a lot of things depend on this,
utilities,utilities,which.nonNA,probably a lot of things depend on this,
utilities,utilities,which.vmatch,probably a lot of things depend on this,
utilities,utilitiesCTFS,assemble.demography,probably a lot of things depend on this,
utilities,utilitiesCTFS,clean.demography,probably a lot of things depend on this,
utilities,utilitiesCTFS,countspp,probably a lot of things depend on this,
utilities,utilitiesCTFS,CTFSplot,probably a lot of things depend on this,
utilities,utilitiesCTFS,exclude.unidentified,probably a lot of things depend on this,
utilities,utilitiesCTFS,load.species,probably a lot of things depend on this,
utilities,utilitiesCTFS,rndown5,probably a lot of things depend on this,
utilities,utilitiesCTFS,unidentified.species,probably a lot of things depend on this,
NA,dat_monthnames,MONTHNAMES,probably a lot of things depend on this,
