Function	File	Description	Link	
angleBisector	utilities/geometry.r	Given 3 sets of coordinates definin...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/angleBisector'>Help</a>	
Annuli	spatial/RipUvK.r	Calculates the total area in a seri...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~RipUvK.r/Annuli'>Help</a>	
are.ptsinside	utilities/geometry.r	Checks many points (dataframe pt wi...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/are.ptsinside'>Help</a>	
arrangeParam.Gibbs.2D	utilities/lmerBayes.r	Used in the loop of a Gibbs sampler...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~lmerBayes.r/arrangeParam.Gibbs.2D'>Help</a>	
arrangeParam.llike	utilities/statistics.r	Used in likelihood function of a Gi...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/arrangeParam.llike'>Help</a>	
arrangeParam.llike.2D	utilities/lmerBayes.r	Used in likelihood function of a Gi...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~lmerBayes.r/arrangeParam.llike.2D'>Help</a>	
assemble.demography	utilities/utilitiesCTFS.r	Takes output of a demographic analy...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilitiesCTFS.r/assemble.demography'>Help</a>	
assembleBinOutput	growth/growthfit.bin.r	Use the list output from piecewise ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growthfit.bin.r/assembleBinOutput'>Help</a>	
asymp.ht	utilities/distributions.r	The function from Sean Thomas which...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/asymp.ht'>Help</a>	
asymp.ht.fixmax	utilities/distributions.r	Same formulation, but the asymptote...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/asymp.ht.fixmax'>Help</a>	
asymptote.exp	utilities/distributions.r	A 3-parameter function which asympt...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/asymptote.exp'>Help</a>	
attach_if_needed	utilities/utilities.r	Attach one or more datafiles,checki...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/attach_if_needed'>Help</a>	
autoregression	utilities/statistics.r	Autocorrelation with a given lag of...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/autoregression'>Help</a>	
ba	abundance/abundance.r	Calculates the individual basal are...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/abundance~slash~abundance.r/ba'>Help</a>	
bad.asymexp.param	demogchange/abund.fit.CTFS.r	For either the Gaussian, or asymexp...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/demogchange~slash~abund.fit.CTFS.r/bad.asymexp.param'>Help</a>	
bad.asympower.param	demogchange/abund.fit.CTFS.r	The 3 parameters submitted to hyper...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/demogchange~slash~abund.fit.CTFS.r/bad.asympower.param'>Help</a>	
bad.binparam	growth/growthfit.bin.r	This prevents the bin parameters fr...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growthfit.bin.r/bad.binparam'>Help</a>	
bad.binsdpar	growth/growthfit.bin.r	...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growthfit.bin.r/bad.binsdpar'>Help</a>	
bad.paretopar	utilities/distributions.r	Test whether parameters for the Par...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/bad.paretopar'>Help</a>	
BadParam	utilities/statistics.r	This is a default for model.xy, nev...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/BadParam'>Help</a>	
badSD	utilities/lmerBayes.r	...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~lmerBayes.r/badSD'>Help</a>	
basum	abundance/abundance.r	Returns the basal area summed over ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/abundance~slash~abundance.r/basum'>Help</a>	
beta.normalized	utilities/distributions.r	Normalzing beta.total. No longer us...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/beta.normalized'>Help</a>	
beta.total	utilities/distributions.r	A beta distribution on the interval...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/beta.total'>Help</a>	
betaproduct	utilities/distributions.r	This is equivalent to the normal pr...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/betaproduct'>Help</a>	
binGraphManySpecies	growth/growthfit.graph.r	Make a graph of AGB growth and mode...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growthfit.graph.r/binGraphManySpecies'>Help</a>	
binGraphManySpecies.Panel	growth/growthfit.graph.r	Make a graph, 4 panels, of AGB grow...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growthfit.graph.r/binGraphManySpecies.Panel'>Help</a>	
binGraphSampleSpecies	growth/growthfit.graph.r	Make a single graph, 4 panels, of A...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growthfit.graph.r/binGraphSampleSpecies'>Help</a>	
biomass.change	biomass/biomass.CTFSdb.r	Finds biomass in two censuses and c...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/biomass~slash~biomass.CTFSdb.r/biomass.change'>Help</a>	
biomass.CTFSdb	biomass/biomass.CTFSdb.r	Calculate biomass from existing R-f...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/biomass~slash~biomass.CTFSdb.r/biomass.CTFSdb'>Help</a>	
biomass.growth	growth/growth.r	Like growth(), but calculates chang...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growth.r/biomass.growth'>Help</a>	
bootconf	utilities/statistics.r	A simple calculation of confidence ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/bootconf'>Help</a>	
bootstrap.corr	utilities/statistics.r	Running bootstrap on a correlation....	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/bootstrap.corr'>Help</a>	
border.distance	utilities/statistics.r	Returns distance from a point to th...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/border.distance'>Help</a>	
calc.directionslope	topography/slope.r	This runs equations 1-3 of Seibert ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/topography~slash~slope.r/calc.directionslope'>Help</a>	
calc.gradient	topography/slope.r	Calculate flow using Seibert & McGl...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/topography~slash~slope.r/calc.gradient'>Help</a>	
calcalpha	utilities/calcalpha.r	Calculates alpha from a stem and sp...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~calcalpha.r/calcalpha'>Help</a>	
calcMortIndivTable	demogchange/demogChange.r	Calculate mortality rate per specie...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/demogchange~slash~demogChange.r/calcMortIndivTable'>Help</a>	
CalcRingArea	spatial/RipUvK.r	Given a dataframe that includes gx,...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~RipUvK.r/CalcRingArea'>Help</a>	
calcS.alpha	utilities/calcalpha.r	Estimated number of species in a sa...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~calcalpha.r/calcS.alpha'>Help</a>	
calcslope	topography/slope.r	Given the z-coordinate of 3 points ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/topography~slash~slope.r/calcslope'>Help</a>	
calculateBinModel.AIC	growth/growthfit.bin.r	Calculate AIC of the model, using v...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growthfit.bin.r/calculateBinModel.AIC'>Help</a>	
calculateBinModel.bestpred	growth/growthfit.bin.r	Calculate mean predicted value at e...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growthfit.bin.r/calculateBinModel.bestpred'>Help</a>	
calculateBinModel.BIC	growth/growthfit.bin.r	Calculate Bayes Information Criteri...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growthfit.bin.r/calculateBinModel.BIC'>Help</a>	
cartesian.to.polar	utilities/geometry.r	Convert Cartesian coordinates to po...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/cartesian.to.polar'>Help</a>	
center.predictors	utilities/distributions.r	Transform all data by subtracting a...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/center.predictors'>Help</a>	
charlocate	utilities/utilities.r	Finds position of a substring needl...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/charlocate'>Help</a>	
Chave.AGB	biomass/biomass.CTFSdb.r	The Chave 2005 Oecologia model for ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/biomass~slash~biomass.CTFSdb.r/Chave.AGB'>Help</a>	
CI	utilities/statistics.r	Confidence limits (quantiles) from ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/CI'>Help</a>	
circle	utilities/geometry.r	Calculates points on a...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/circle'>Help</a>	
circlearea	spatial/RipUvK.r	Simply returns area of a circle of ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~RipUvK.r/circlearea'>Help</a>	
clean.demography	utilities/utilitiesCTFS.r	This takes a CTFS demography table,...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilitiesCTFS.r/clean.demography'>Help</a>	
coldata.to.imagemat	map/mapresponse.r	These functions create maps of resp...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/map~slash~mapresponse.r/coldata.to.imagemat'>Help</a>	
colMedians	utilities/statistics.r	For convenient medians, like colMea...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/colMedians'>Help</a>	
compare.growthbinmodel	growth/growthfit.graph.r	Calculates various metrics of fit: ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growthfit.graph.r/compare.growthbinmodel'>Help</a>	
complete.plotmap	map/map.r	This creates a map with every indiv...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/map~slash~map.r/complete.plotmap'>Help</a>	
constant	utilities/distributions.r	A function to return a constant at ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/constant'>Help</a>	
constant.bin	utilities/distributions.r	A model like piecewise regression (...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/constant.bin'>Help</a>	
constant.linear	utilities/distributions.r	A model which is constant for x<lim...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/constant.linear'>Help</a>	
convert.factor	utilities/utilities.r	Converts any character fields in a ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/convert.factor'>Help</a>	
convert.rowcol	spatial/quadfunc.r	Convert an integer to a character, ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~quadfunc.r/convert.rowcol'>Help</a>	
CountByGroup	utilities/utilities.r	Groups a dataframe by one or more c...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/CountByGroup'>Help</a>	
countEmpty	utilities/utilities.r	Counts vector elements that are NA ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/countEmpty'>Help</a>	
countNA	utilities/utilities.r	Counts vector elements that are NA....	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/countNA'>Help</a>	
countone	utilities/utilities.r	Counts vector elements exactly one....	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/countone'>Help</a>	
countpresent	utilities/utilities.r	Counts vector elements > 0. See cou...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/countpresent'>Help</a>	
countspp	utilities/utilitiesCTFS.r	Returns the number of elements in a...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilitiesCTFS.r/countspp'>Help</a>	
countUnique	utilities/utilities.r	Count the number of unique elements...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/countUnique'>Help</a>	
countzero	utilities/utilities.r	Counts vector elements exactly zero...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/countzero'>Help</a>	
coverage.diag	speciesarea/spparea.r	Draws a diagonal across a plot, fro...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/speciesarea~slash~spparea.r/coverage.diag'>Help</a>	
covTocorr	utilities/lmerBayes.r	Convert covariance matrix to correl...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~lmerBayes.r/covTocorr'>Help</a>	
create.fulldate	utilities/utilities.r	Converts a vector of date character...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/create.fulldate'>Help</a>	
create.fulldate.split	utilities/utilities.r	Converts the MySQL date format by s...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/create.fulldate.split'>Help</a>	
create.neighbordata	spatial/quadfunc.r	Calculates the mean density in neig...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~quadfunc.r/create.neighbordata'>Help</a>	
CTFSplot	utilities/utilitiesCTFS.r	A convenience for attaching the R A...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilitiesCTFS.r/CTFSplot'>Help</a>	
cumul.above	utilities/statistics.r	Given y values as a function of x, ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/cumul.above'>Help</a>	
d.calcS.alpha	utilities/calcalpha.r	The derivative for use in Newton's ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~calcalpha.r/d.calcS.alpha'>Help</a>	
dasymexp	utilities/distributions.r	Probability distributions for a fol...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/dasymexp'>Help</a>	
dasymexp	utilities/distributions.r	Probability distributions for an as...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/dasymexp'>Help</a>	
dasympower	utilities/distributions.r	A bilateral power distribution, cen...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/dasympower'>Help</a>	
dbeta.reparam	utilities/distributions.r	This reparameterizes the beta distr...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/dbeta.reparam'>Help</a>	
DBHtransition	growth/growth.r	Calculates a transition matrix of i...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growth.r/DBHtransition'>Help</a>	
dbinomrev	utilities/distributions.r	A version of dbinom in which parame...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/dbinomrev'>Help</a>	
default.badpar	utilities/distributions.r	None given....	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/default.badpar'>Help</a>	
define.graphwindow	map/map.r	This defines an export device for a...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/map~slash~map.r/define.graphwindow'>Help</a>	
defineBinBreaks	growth/growthfit.bin.r	This finds divisions of over the ve...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growthfit.bin.r/defineBinBreaks'>Help</a>	
defineSDpar	growth/growthfit.bin.r	For default SD parameters, if nothi...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growthfit.bin.r/defineSDpar'>Help</a>	
density.ind	biomass/biomass.CTFSdb.r	Create a vector of wood density for...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/biomass~slash~biomass.CTFSdb.r/density.ind'>Help</a>	
detachfiles	utilities/utilities.r	detachs from the searchpath files m...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/detachfiles'>Help</a>	
dexp.sin	utilities/distributions.r	Four-parameter exponential sin, as ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/dexp.sin'>Help</a>	
dgamma.mean	utilities/distributions.r	A version of dgamma where the param...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/dgamma.mean'>Help</a>	
dgamma.meansd	utilities/distributions.r	Probability distribution of gamma, ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/dgamma.meansd'>Help</a>	
dgamma.scale	utilities/distributions.r	Like above, but with scale as the f...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/dgamma.scale'>Help</a>	
dgammadexp	utilities/distributions.r	PDF of a function formed by adding ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/dgammadexp'>Help</a>	
dgammaMinusdexp	utilities/distributions.r	The PDF of the difference between a...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/dgammaMinusdexp'>Help</a>	
dgammaPlusdexp	utilities/distributions.r	The PDF of the sum of gamma and neg...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/dgammaPlusdexp'>Help</a>	
discrete.model	utilities/distributions.r	A model for a numeric response to a...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/discrete.model'>Help</a>	
discrete.mortmodel	utilities/distributions.r	A model for mortality as a function...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/discrete.mortmodel'>Help</a>	
distance	spatial/quadfunc.r	Calculates the distance from one qu...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~quadfunc.r/distance'>Help</a>	
distance.to.side	topography/imageJ.r	Called from imageJ.to.lxly where fo...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/topography~slash~imageJ.r/distance.to.side'>Help</a>	
ditch	utilities/utilities.r	Detaches all files at one or more s...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/ditch'>Help</a>	
dmixnorm	utilities/distributions.r	Mixed normal distribution. The para...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/dmixnorm'>Help</a>	
dnormprod0	utilities/distributions.r	Probability density of product of t...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/dnormprod0'>Help</a>	
dnormrev	utilities/distributions.r	This reverses the order of paramete...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/dnormrev'>Help</a>	
doublenormal	utilities/distributions.r	Simulate draws from a double normal...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/doublenormal'>Help</a>	
dpois.max	utilities/distributions.r	A probability distribution which is...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/dpois.max'>Help</a>	
dpois.maxtrunc	utilities/distributions.r	A zero-truncated Poisson distributi...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/dpois.maxtrunc'>Help</a>	
dpois.rearrange	utilities/distributions.r	This rearranges dpois so that it wo...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/dpois.rearrange'>Help</a>	
dpower	utilities/distributions.r	A probability distribution defined ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/dpower'>Help</a>	
draw.axes	map/mapresponse.r	Add axes to a graph, with ticks spa...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/map~slash~mapresponse.r/draw.axes'>Help</a>	
drawrectangle	utilities/geometry.r	Draw a rectangle given a matrix or ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/drawrectangle'>Help</a>	
drp	utilities/utilities.r	A version of drop which includes as...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/drp'>Help</a>	
dsymexp	utilities/distributions.r	Probability distribution for a fold...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/dsymexp'>Help</a>	
dweibull.3param	utilities/distributions.r	PDF of three-parameter Weibull...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/dweibull.3param'>Help</a>	
elev.to.list	topography/slope.r	A function which reads a dataframe ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/topography~slash~slope.r/elev.to.list'>Help</a>	
ellipse	utilities/geometry.r	Equation for (half) a canonical...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/ellipse'>Help</a>	
enoughSamplePerBin	growth/growthfit.bin.r	Test whether the number of elements...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growthfit.bin.r/enoughSamplePerBin'>Help</a>	
exclude.unidentified	utilities/utilitiesCTFS.r	A more specialized version of unide...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilitiesCTFS.r/exclude.unidentified'>Help</a>	
exp.2par	utilities/distributions.r	An exponential distribution with an...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/exp.2par'>Help</a>	
explode	utilities/utilities.r	Split a single (atomic) character v...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/explode'>Help</a>	
expon.model	utilities/distributions.r	Exponential model, y = a exp(b1*x1 ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/expon.model'>Help</a>	
exponential.sin	utilities/distributions.r	Five-parameter exponential sin...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/exponential.sin'>Help</a>	
extract.growthdata	growth/growthfit.bin.r	Extract data for growth rates from ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growthfit.bin.r/extract.growthdata'>Help</a>	
fill.1dimension	utilities/utilities.r	Filling a 1D array resulting from t...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/fill.1dimension'>Help</a>	
fill.dimension	utilities/utilities.r	This function fills out an array of...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/fill.dimension'>Help</a>	
find.climits	mortality/mortality.r	Calculates confidence limits around...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/mortality~slash~mortality.r/find.climits'>Help</a>	
find.nonNA	utilities/utilities.r	Returns the first value of a vector...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/find.nonNA'>Help</a>	
find.xaxis.hist	demogchange/abund.fit.CTFS.r	Given an abundance fit and x axis r...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/demogchange~slash~abund.fit.CTFS.r/find.xaxis.hist'>Help</a>	
findborderquads	spatial/quadfunc.r	Calculate indices of neighboring qu...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~quadfunc.r/findborderquads'>Help</a>	
